"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"s23" 8 58 10 0 36 58 0 0 0 300 0 1 1220 87 0 0 0 72 18 11 1076 0 0 0 22 9 0 80 3 0 0 68 0 0 0 0 0 1 0 10 0 0 0 0 1 0 0 0 1 49
"s24" 0 0 0 983 0 0 0 0 75 0 8 0 0 95 5 1966 218 0 7 0 0 0 20 0 43 144 0 0 0 156 4 0 0 59 0 14 0 0 0 20 65 0 0 0 1 0 0 0 0 0
"s25" 15 52 71 14 11 0 0 143 4 67 8 0 19 0 0 0 112 0 27 0 0 1 0 7 11 22 0 14 0 0 1 18 0 256 0 159 13 0 3 0 4 16 78 3 0 0 394 11 303 0
"s26" 0 0 0 116 0 97 1 130 0 0 1275 0 54 737 3 74 0 0 0 0 0 0 0 55 0 30 0 0 0 0 0 0 101 0 0 0 0 0 0 0 2321 0 0 32 0 0 470 0 0 0
"s27" 29 29 0 1582 0 9 0 529 3 0 271 34 115 0 0 0 0 0 0 62 0 0 0 0 0 25 15 0 1 1 4 0 44 9 0 0 0 7 0 0 0 101 265 0 279 12 187 0 0 13
"s28" 660 0 10 0 32 0 0 228 864 8 0 0 7 0 0 0 14 128 21 67 0 0 0 0 0 0 46 17 0 2 0 0 0 0 5 0 114 0 6 0 0 0 0 13 0 0 0 91 1 0
"s29" 0 4 17 0 0 107 2 0 35 54 26 13 0 22 1 0 0 7 25 41 0 0 0 0 0 2 1013 1998 0 16 61 0 0 224 0 0 903 5 52 615 2 0 5 0 4 18 0 7 0 0
"s30" 9 16 17 0 46 0 1169 0 0 436 0 0 0 17 0 11 26 0 29 992 0 3375 0 244 2867 45 0 0 19 0 0 0 0 0 0 87 0 28 0 0 0 3 0 1 0 176 47 0 0 0
"s31" 0 75 82 29 8 7 0 39 0 324 0 2 37 0 2 0 91 339 7 0 1101 0 0 209 5 0 4 91 1 51 13 9 187 0 10 569 0 11 0 7 3 0 1 0 0 33 0 86 0 250
"s32" 0 403 15 17 9 0 0 206 2 853 0 0 203 13 0 5 338 1667 30 0 208 0 0 984 7 0 0 153 1 11 55 34 641 3 34 138 8 2 0 44 9 0 1 0 0 40 0 16 0 44
"s33" 0 211 8 6 0 1421 16 0 7 0 136 1 158 19 3 8 48 0 0 0 0 1 0 8 0 0 3 4 4 50 401 1 497 5 3 11 21 204 4 9 12 0 2 3 0 13 10 57 7 388
"s34" 0 45 5 19 0 318 7 0 35 0 443 9 31 11 1 32 126 0 0 0 0 0 0 5 7 0 0 32 22 42 2094 0 115 0 11 134 4 46 37 8 21 2 14 3 6 4 43 15 59 69
"s35" 46 0 0 19 82 24 12 62 15 24 3 41 13 16 0 1043 0 5 79 116 0 4 0 84 0 40 24 31 2626 4 0 46 88 193 12 86 8 4 8 20 19 474 0 0 168 0 274 65 38 2
"s36" 77 0 18 10 9 0 64 428 1 70 2 6 23 27 0 196 0 6 30 26 0 17 0 418 0 163 2 10 514 9 0 203 52 224 28 17 43 10 15 61 72 83 0 0 879 4 198 8 182 3
"s37" 96 5 174 133 170 21 0 37 25 39 2 11 332 34 2591 3 6 107 260 30 178 0 34 10 5 2 0 0 0 33 5 9 8 0 57 0 0 15 211 0 6 29 0 6 73 0 30 28 3 20
"s38" 32 12 33 112 194 11 2 16 178 139 6 53 121 68 507 28 0 19 1158 23 810 0 37 14 11 6 8 0 0 4 0 35 23 0 10 0 4 76 53 0 3 12 1 24 16 0 21 179 22 57
"s39" 42 507 9 62 0 94 12 0 38 0 15 0 36 0 2 1 0 13 700 0 0 0 28 0 36 26 1549 0 2 9 182 8 0 29 9 14 0 305 3 0 5 2 0 0 10 238 0 0 1 260
"s40" 164 109 0 89 10 382 61 15 12 0 20 1 12 0 2 1 0 11 214 0 0 0 141 0 183 17 288 0 0 34 37 54 0 37 5 69 0 1482 0 0 28 4 0 0 44 47 0 0 6 1233
