"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"s18" 5 1094 1458 0 0 31 10 0 0 0 0 410 0 60 0 0 0 0 0 0 6 0 3 2 13 0 0 0 58 0 0 0 0 0 0 0 0 0 0 0 14 0 2 0 0 7 0 0 0 0
"s19" 0 0 0 0 13 0 2 7 6 274 0 103 0 11 0 0 2148 593 1 1 4 217 0 241 0 120 507 0 0 1 24 0 1 1 37 71 0 0 0 1293 0 6 0 0 12 0 1 0 3 0
"s20" 6 5 691 337 0 0 0 0 0 0 10 0 2 0 2 0 0 0 0 7 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 5 0 176 0 6 0 0 0 0 0 0 613 0 11
"s21" 458 0 0 0 187 0 344 0 11 0 228 0 0 0 9 0 10 0 0 9 0 46 17 10 20 0 1 0 0 3 0 0 0 0 0 11 0 20 258 5 5 0 0 451 6 0 4 459 0 4
"s22" 0 0 0 0 0 24 0 22 0 28 0 99 7 0 0 1 274 162 447 0 0 0 0 25 0 0 0 32 5 5 0 0 3 1 6 11 0 21 0 15 195 8 0 0 12 8 0 0 0 9
"s23" 0 170 8 6 0 10 13 0 0 3 0 3 27 0 0 0 13 0 13 1 4 0 51 521 0 36 120 8 0 12 5 0 0 0 40 0 38 0 19 0 9 4 24 27 16 5 2 6 0 8
"s24" 0 0 63 879 57 0 0 3 0 0 0 0 0 0 2 1 168 3 440 0 0 36 2234 0 3 0 0 0 14 0 0 0 5 1 0 0 15 22 0 0 157 7 474 75 12 0 13 0 1 21
"s25" 0 51 0 484 0 0 0 0 0 607 0 0 55 0 0 14 58 0 52 1 573 7 128 1 0 1590 0 4 0 0 9 3 9 24 5 0 0 0 0 7 0 0 2 0 0 31 12 0 46 0
"s26" 0 0 0 218 46 0 902 6 11 0 3 0 0 0 0 39 0 2 0 0 0 185 0 22 0 0 0 128 0 27 0 0 0 0 3 24 12 8 0 0 0 2 6 0 3 0 0 9 0 7
"s27" 1675 0 0 0 0 451 1 0 11 0 102 2 135 0 3105 13 54 2 0 0 4 0 3 0 16 20 0 141 0 16 16 60 0 0 258 0 0 0 0 0 0 153 0 8 6 3 4 2 1 0
"s28" 0 76 4 11 0 0 1 0 0 0 0 20 0 22 0 5 3 0 4 4 6 0 20 0 382 0 493 0 0 0 37 0 0 0 0 0 7 6 0 0 0 712 0 10 0 39 0 16 0 721
"s29" 0 4 11 64 0 2 0 0 3 57 0 1146 416 10 0 0 0 53 4 0 4 213 0 0 736 1 0 13 4 0 130 50 8 0 110 14 19 167 19 164 18 0 0 168 0 13 0 24 0 109
"s30" 0 104 11 0 439 0 0 11 0 0 0 0 0 44 1 1 31 343 4 0 46 0 0 455 0 0 0 0 8 0 0 0 0 0 222 54 214 1316 27 0 0 25 0 0 0 0 15 0 0 0
"s31" 0 50 147 1 9 1041 5 5 0 2 12 3 2 19 0 8 54 303 570 9 12 0 48 19 0 3 59 122 74 906 265 213 551 5 25 73 4 3 3 25 26 15 6 1 13 28 158 963 2 3
"s32" 0 72 133 0 27 501 2 8 1 0 31 4 5 42 0 4 40 578 1095 5 5 0 30 5 0 0 29 71 39 1955 317 108 273 2 25 68 0 7 2 40 33 30 2 0 5 50 354 489 4 8
"s33" 104 11 13 309 0 24 12 105 4 44 5 0 8 26 3 0 16 1 37 12 4 2 2 2 1 21 2 2 756 0 4 129 483 8 0 0 77 243 13 249 73 172 433 56 729 165 28 87 3 12
"s34" 102 7 6 163 0 11 11 235 2 21 0 0 1 9 3 1 10 2 11 13 3 1 4 2 1 11 1 1 366 0 2 233 1039 4 3 0 97 131 5 125 51 420 863 40 395 101 3 39 0 25
"s35" 164 0 18 7 182 14 67 0 467 76 317 14 31 425 4 6 7 17 3 1561 0 652 1 14 0 0 4 6 0 1 1 2 26 3 0 51 0 34 35 4 5 3 137 120 20 22 66 2 1 80
"s36" 82 0 6 1 105 31 74 0 863 51 676 11 40 705 0 35 0 10 0 834 0 319 5 12 0 2 1 15 0 0 5 5 20 1 0 113 0 43 19 0 7 12 85 65 15 45 41 1 0 41
"s37" 13 218 10 0 499 102 23 1297 8 18 61 10 185 16 2 3 14 339 0 0 693 5 5 0 1 4 15 201 3 0 4 4 15 0 13 254 489 349 11 33 6 13 2 3 123 457 3 1 0 1
"s38" 25 414 7 1 1159 57 36 650 10 9 45 10 364 14 8 0 14 182 0 0 1431 11 5 0 1 0 13 280 4 2 4 7 11 0 30 534 233 202 14 81 4 32 0 8 63 214 0 0 0 4
"s39" 6 79 119 0 11 29 35 30 0 7 97 0 5 18 17 239 26 0 122 8 0 762 0 18 6 120 17 0 996 0 0 11 11 2 152 305 661 0 17 11 2 12 11 342 20 250 49 0 0 536
"s40" 3 46 245 0 13 71 20 13 4 8 54 0 18 37 5 137 8 4 114 18 0 402 0 20 10 226 27 0 475 2 0 11 24 3 319 554 333 0 38 20 5 9 15 669 28 526 33 0 5 1124
