"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"s11" 1 0 0 0 0 22 0 0 0 0 0 18 0 285 17 1 0 18 18 0 7 0 0 0 12 57 0 0 55 435 7 0 0 2 0 0 0 0 0 63 0 13 0 0 0 0 5748 44 0 0
"s12" 0 8 15 9 1 0 80 0 57 1814 1 0 42 0 0 0 3 0 15 19 0 94 0 57 0 9 2 0 24 226 0 0 0 0 64 1 170 0 808 0 0 0 11 0 0 0 0 0 0 792
"s13" 1 0 1372 0 0 0 3970 604 196 11 0 46 0 0 143 0 21 0 0 0 0 0 4 0 0 0 48 0 78 0 0 0 10 972 0 0 161 0 0 190 0 618 0 0 8 0 0 0 0 309
"s14" 0 0 0 0 13 12 0 0 0 0 12 0 25 20 0 0 27 35 296 11 0 170 0 223 1 0 0 3055 0 3015 1 62 0 0 177 6 0 16 695 0 0 0 5 13 8 0 407 15 3 0
"s15" 0 6 0 16 0 0 0 0 0 0 0 5149 173 75 13 3 0 0 0 0 0 0 0 202 1 0 10 0 96 0 4 3 1 0 5 23 64 0 0 12 0 48 10 10 10 0 0 13 0 1798
"s16" 46 0 9 0 1 384 14 17 372 6 23 0 0 0 0 0 20 0 24 0 0 0 659 0 0 90 0 103 0 0 0 19 0 26 0 0 0 4106 24 0 21 0 0 25 0 6 165 22 0 0
"s17" 0 0 170 0 126 1 0 0 42 25 11 16 0 25 0 0 0 451 45 0 0 943 0 0 2 0 0 63 1785 20 4858 3 1 0 0 0 0 0 370 0 0 0 0 0 503 0 0 0 9 0
"s18" 94 0 0 0 0 0 12 4 0 0 0 0 0 0 468 1 768 0 65 0 45 0 0 71 0 6072 6642 0 0 16 0 10 0 0 11 7 0 0 0 0 186 158 10 32 0 1 0 0 0 21
"s19" 0 0 0 6671 5722 0 66 1 27 10 31 0 61 189 0 4 25 0 0 64 0 177 0 19 8 50 6 0 14 0 1 0 0 206 8 0 0 0 0 0 3383 330 0 0 3819 0 14 2170 0 0
"s20" 54 4020 6 0 0 7 18 0 0 44 6 0 0 17 0 0 5 118 39 0 925 0 0 0 0 0 0 24 0 67 0 6331 0 0 0 31 0 7 18 10 0 0 3 395 0 0 0 0 3 78
"s21" 0 7 0 0 0 8 0 5 0 49 158 34 17 0 29 0 0 37 38 492 464 0 4 2362 9 44 127 0 106 1218 122 0 0 8 0 0 36 0 0 7 0 0 0 234 0 0 0 234 20 0
"s22" 2 0 142 0 1 79 0 79 0 5 0 0 442 108 0 7373 30 0 0 0 0 266 18 2461 0 10 0 24 0 112 0 0 0 0 31 3 687 0 58 0 0 0 11 1724 1 8 48 38 0 1138
"s23" 0 22 0 0 0 0 14 1 0 716 1 371 85 0 0 0 198 0 233 0 16 0 182 13 11 9 17 24 148 0 0 12 0 1 0 17 0 30 0 0 172 190 0 134 0 0 0 0 0 26
"s24" 107 58 791 30 0 0 161 0 7 0 0 0 0 0 40 0 0 526 0 46 0 41 0 128 0 12 0 26 0 70 3 0 0 5206 254 0 14 41 225 5 0 0 0 0 0 0 127 232 0 0
"s25" 0 161 14 115 0 3 0 50 0 0 0 0 7 15 10 7 0 88 61 20 0 730 0 5 0 11 1 32 5 443 31 17 6764 0 0 0 15 0 0 0 6 145 0 0 1 0 32 5 2 0
"s26" 145 0 356 0 9 0 0 0 16 8 121 0 0 3897 30 0 19 0 0 0 4 157 87 8 18 0 0 0 79 0 3 0 0 15 36 0 0 6 0 51 0 0 6 8 50 0 169 0 5 0
"s27" 17 58 0 1 3 0 0 246 21 865 0 0 3 0 5663 0 146 5 0 19 21 526 3 0 0 3 10 90 17 0 2 12 1 3 0 54 0 13 50 38 791 50 17 0 17 94 0 0 0 385
"s28" 3 0 5 26 14 5329 118 0 52 0 0 43 28 0 0 0 0 0 69 15 142 0 745 838 1 31 6 0 24 178 2 54 0 2 0 0 0 1110 20 0 0 0 0 46 0 0 0 0 1 0
"s29" 0 5 49 6 0 0 2034 0 2198 0 33 434 0 70 46 1 4 18 0 0 110 0 330 79 0 5 0 0 87 0 144 31 0 1 1 0 60 136 403 0 204 7 25 2479 4 0 0 28 21 0
"s30" 0 2 15 13 0 0 0 1 0 266 0 0 0 0 0 0 0 0 54 0 0 34 0 0 42 14 0 0 23 0 0 0 0 2 0 4 0 68 0 0 0 9 0 0 104 0 0 0 0 24
"s31" 0 115 0 0 16 241 21 1 304 134 1559 0 6 24 44 0 1516 126 313 54 12 132 4 11 165 65 17 0 15 113 0 285 0 0 142 7 0 15 0 64 32 7 7 26 106 0 0 0 22 136
"s32" 0 40 0 0 4 86 52 4 76 280 5115 0 0 42 155 0 493 47 951 79 14 31 0 35 490 75 8 0 19 36 0 101 0 0 31 5 0 77 0 18 9 0 14 8 35 0 9 0 71 283
"s33" 5280 0 1403 7 9 2 6 9 161 10 10 43 2044 79 170 0 0 21 21 14 8 0 1132 0 1 8 27 151 396 0 5 8 409 4 1 0 116 0 71 20 408 1073 927 13 0 0 38 214 24 334
"s34" 1530 0 427 3 5 3 11 33 50 4 3 22 620 17 53 0 0 19 0 0 7 47 372 0 0 39 9 43 354 0 12 21 150 1 0 0 240 0 119 40 135 326 3212 16 1 0 15 166 50 1034
"s35" 2 331 0 19 237 0 0 0 147 0 14 119 183 0 31 0 65 0 283 1936 0 88 0 20 1 3 13 303 29 14 6 90 2 48 0 43 0 8 447 12 144 5 2298 56 2009 0 0 20 18 147
"s36" 2 1104 8 38 727 0 5 0 51 10 46 41 602 33 14 0 157 7 825 577 0 38 0 5 3 7 6 949 20 36 0 37 3 109 0 20 0 0 384 3 426 0 668 230 626 0 0 2 3 432
"s37" 2 857 203 0 2 6 13 12 35 173 77 21 7 20 151 0 65 3593 41 11 1289 31 129 0 0 0 14 489 0 0 12 22 0 155 160 3 0 15 28 16 236 8 28 258 0 0 0 368 5363 79
"s38" 7 300 93 0 0 11 64 12 12 485 35 12 14 0 57 0 201 1030 24 18 358 0 67 0 1 0 11 166 0 0 33 7 0 364 92 3 0 7 28 3 77 13 12 227 4 0 0 122 1664 19
"s39" 5 32 7 1 25 0 0 1446 6 679 14 51 0 328 0 0 38 11 1356 0 399 314 870 21 4879 0 5 53 2829 66 0 3 5 54 228 11 6 24 0 0 244 2473 22 12 0 1 0 36 0 0
"s40" 12 12 5 4 9 0 0 4737 0 273 32 14 0 762 0 1 18 22 1711 0 118 958 2703 11 1428 0 21 195 948 14 2 10 19 22 73 28 32 7 0 0 92 735 5 11 0 0 0 7 0 0
