"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"s11" 3 0 410 0 0 1 0 0 0 0 57 0 16 0 2264 0 10 0 0 0 0 0 12 254 2 2 14 3 3245 0 16 0 15 0 0 107 0 18 0 0 0 16 3 28 0 0 6 0 47 0
"s12" 0 35 0 356 0 0 17 0 559 31 0 0 0 41 0 0 0 4 0 47 8 0 0 0 0 0 0 8 0 0 0 255 0 0 0 0 48 0 25 3 0 0 1 0 0 0 0 0 12 0
"s13" 8 0 28 196 0 0 2545 0 0 27 0 2 3 0 0 0 0 0 0 0 0 290 0 0 0 0 173 0 1 0 0 1 6 2 1 0 2 0 7 0 6 0 0 0 0 3 0 5 602 0
"s14" 0 0 131 0 101 8 0 0 0 0 0 0 4 15 117 0 67 3 0 0 0 0 6 8 0 48 0 0 0 0 0 0 0 0 0 4 0 93 0 0 5 701 4 133 0 0 20 0 0 123
"s15" 2 0 11 11 0 0 6 12 14 0 17 6 0 0 0 168 0 0 4 0 0 446 16 70 24 0 309 0 5 187 0 0 136 45 0 39 0 0 9 21 0 10 3 0 0 0 0 0 0 106
"s16" 0 0 0 0 2 1 0 0 0 0 0 0 0 0 222 0 789 123 0 391 0 0 15 0 0 26 0 34 6 0 0 0 0 0 91 14 50 0 12 0 0 0 0 0 1 30 1 37 18 0
"s17" 16 47 133 18 36 0 0 0 23 0 0 0 1765 5 7 0 47 0 5 1499 0 0 111 67 0 17 0 0 0 0 0 0 0 5 0 95 26 42 6 0 3 0 0 47 0 0 8 0 10 1
"s18" 0 4 0 0 14 3096 500 0 0 177 35 0 0 0 0 10 0 22 21 0 0 107 124 0 10 0 47 0 10 5 0 0 275 0 0 314 0 0 0 0 0 0 7 114 4 0 0 0 0 0
"s19" 0 72 0 0 0 5 0 2 41 429 1308 0 1 18 5 0 2 386 0 111 0 0 0 0 38 0 244 0 14 17 0 0 0 3 561 0 6 0 41 19 200 0 1 0 0 0 0 0 0 0
"s20" 0 0 0 275 2 1 2 33 0 0 0 11 0 0 33 241 0 0 642 14 3 2 159 70 0 7 0 401 29 0 3 6 0 0 0 3 0 0 0 6 0 0 3 0 0 85 0 1258 1658 0
"s21" 8 0 178 6 0 0 0 919 0 0 9 0 26 0 0 0 0 0 0 0 0 0 0 26 895 0 1640 0 1 0 1 0 0 0 0 9 891 0 12 0 0 485 0 0 0 99 2 884 4 0
"s22" 0 1 0 0 0 32 0 0 13 0 9 4 0 0 0 836 4 0 0 3 0 0 17 0 0 21 0 15 0 60 0 0 10 0 864 0 0 19 0 3 0 0 3 24 2 0 0 0 0 0
"s23" 12 3 8 0 0 0 2 14 44 15 0 3 1 15 66 0 5 42 21 3 0 0 85 3 64 0 9 82 4 11 1 49 653 0 0 0 0 0 364 0 1 0 0 0 0 59 1069 0 0 180
"s24" 6 0 0 62 3 20 0 0 0 0 83 30 0 0 0 90 0 0 0 4 29 57 320 12 0 28 0 0 0 12 1 0 0 5 0 46 0 0 0 1889 0 8 0 0 2 0 0 106 0 0
"s25" 283 0 9 0 0 0 10 18 0 0 0 0 0 0 0 9 1656 33 7 4 6 0 0 0 0 5 0 0 0 8 0 0 24 0 4 2 0 0 11 0 18 0 3 0 0 52 0 1 0 2
"s26" 0 13 0 0 0 0 2 1465 91 0 0 10 1 0 81 4 0 0 59 2 0 0 0 115 12 1649 178 19 5 5 0 0 19 0 0 0 114 0 0 0 50 225 0 13 0 0 1989 53 9 0
"s27" 0 0 0 50 20 0 27 0 446 0 12 10 11 680 14 0 0 12 0 0 1 13 0 0 6 0 0 538 0 1824 0 18 12 2354 0 0 2 16 0 63 19 109 5 0 0 45 0 528 4 0
"s28" 60 4 180 0 557 0 0 0 0 89 830 0 0 0 16 0 7 0 0 26 0 0 0 308 1052 293 0 0 1 0 0 0 0 0 0 55 0 36 43 0 0 61 0 97 0 0 0 0 10 0
"s29" 0 4 16 10 0 0 12 3 0 171 0 16 0 0 0 0 0 0 11 63 0 0 0 7 7 6 47 0 0 11 0 4 42 0 0 0 17 0 4 0 2720 0 8 0 3239 0 3 0 80 0
"s30" 0 0 0 4 474 0 3 3 0 0 16 0 2 0 0 25 0 0 0 0 2 0 0 22 65 161 0 87 0 0 0 0 190 11 0 0 0 4 454 0 0 0 0 304 0 6 10 0 0 3
"s31" 1867 135 0 28 6 79 18 23 7 123 5 30 0 1583 0 37 158 13 21 4 1659 0 1052 56 0 0 0 150 1 79 0 2 50 145 1 20 1527 66 0 18 3 75 32 69 0 9 28 0 221 2
"s32" 513 42 0 14 12 48 9 49 6 289 1 137 4 589 0 123 53 64 97 3 485 0 373 125 0 0 5 42 0 228 0 5 166 400 4 7 444 28 0 5 2 263 131 20 0 5 133 0 87 9
"s33" 4 2 169 62 49 0 8 37 238 137 7 0 2 10 81 169 65 16 8 337 0 10 83 12 168 0 112 29 1 7 1 217 0 63 7 1269 0 0 0 67 19 0 22 4 1 118 0 0 0 1019
"s34" 28 4 179 165 23 0 17 14 59 463 0 0 5 18 27 49 40 7 5 72 3 8 332 1 580 4 33 106 0 29 0 71 0 20 12 368 0 0 0 21 3 0 61 5 9 375 1 4 7 332
"s35" 7 8 289 17 7 15 0 0 16 0 11 143 266 0 9 38 241 414 0 0 2 43 67 8 17 28 84 7 1 3 1 1 0 0 0 3 26 755 0 7 1 0 0 0 0 0 9 20 0 7
"s36" 2 40 355 62 26 14 2 0 4 0 2 57 852 0 12 39 80 1355 0 1 0 87 160 19 45 77 295 24 0 3 4 1 0 3 3 0 14 237 0 18 17 9 2 0 4 0 16 61 0 32
"s37" 3 3 5 0 124 0 11 155 109 0 2 12 73 126 24 97 19 0 3 172 215 1327 15 30 8 0 10 823 1 11 8 596 14 0 388 164 71 0 314 4 7 205 3 19 2 5 0 128 0 6
"s38" 1 5 15 0 54 0 21 491 32 0 3 5 18 42 6 27 31 0 9 554 75 755 8 95 15 0 3 266 2 2 1 2011 0 0 1226 55 21 4 1009 35 6 641 2 6 3 8 0 61 5 31
"s39" 5 0 194 312 5 0 44 1 30 15 14 0 1 1 27 0 7 45 0 0 25 21 31 0 16 440 6 40 0 5 0 0 60 1 48 7 0 636 201 0 0 64 0 1612 1 75 1 8 9 0
"s40" 2 0 531 1058 2 1 13 0 21 0 7 0 2 1 6 0 0 144 0 5 15 24 5 0 23 189 7 16 0 22 0 2 29 2 15 1 7 221 83 0 0 34 0 555 0 42 0 25 14 0
